Sim1,Sim2,Sim3,Sim4,Sim5,Sim6,Sim7,Sim8,Sim9,Sim10
0.011491704,-0.007622316,-0.00660605,0.003474964,-0.010766841,0.015911467,0.0129079,-0.002651752,-0.007253206,-0.001515035
-0.006671382,0.011136933,0.057785595,0.0107711,-0.005639013,-0.032267453,0.003657618,-0.02876496,0.023338369,0.001786085
-0.004170431,-0.014330858,0.003672068,-0.010160707,0.001969683,-0.032071001,0.005880443,0.011296482,0.004972817,0.009278346
-0.005113453,-0.022815355,-0.007194242,-0.004585742,0.010992252,0.000373296,-0.005387622,0.012317901,0.01359308,0.001084594
0.01111795,0.004894553,0.010909164,-0.004950703,-0.001911452,-0.021206465,0.002286922,-0.012791912,-0.002031066,0.000361258
0.018023198,0.00952872,0.014461767,0.003070449,0.006645482,-0.054990627,0.008351869,0.00286925,0.006559248,-0.004215433
0.008522083,0.007091958,0.00971094,0.012079801,-0.023197178,0.008335396,0.00075899,0.001205894,-0.002289056,0.008213294
0.003628273,0.022628302,0.010041691,-0.010966157,0.005541481,0.005293013,0.001513532,-0.022561754,0.009147284,0.004865807
0.000807963,0.001098877,-0.002141268,-0.010260486,-0.005481273,0.011319072,-0.007801884,-0.000752782,0.011906714,-0.003559299
-0.007450133,-0.007716075,-0.00082558,0.006102973,-0.022901217,-0.012770117,0.004774182,-0.005368551,0.026892557,0.007577932
-0.009327408,-0.051993513,0.019048902,0.005822659,0.001829356,0.021587646,0.001826526,0.000541344,-0.008976284,-0.005506793
0.016582146,-0.00877195,0.013720994,0.002821748,0.006234238,0.047486714,0.003557943,-0.007964284,0.005932863,0.009078883
-0.006853739,0.018236287,-0.013524296,0.010363568,0.001348949,-0.000251868,-0.00625228,0.004470973,0.01775112,-0.004465691
0.013734729,0.005414166,-0.005012075,0.009294984,-0.018913907,0.002108255,0.00490767,-0.00338583,-0.006817491,0.004118218
-0.003810232,-0.004169713,0.003449565,0.014161162,0.016666802,0.025498952,-0.004234166,0.004643525,0.005734575,-0.000703242
-0.001937362,0.048365273,0.001799752,-0.006121703,0.003981108,0.020871919,0.002829148,0.003749428,0.003536489,0.004334142
0.00978431,0.016802424,-0.00787894,-0.011209531,0.008242549,-0.00132639,-0.003501322,0.017170785,-0.011293409,-0.006043286
0.001394034,-0.007528432,0.033887667,0.002898525,0.00870039,0.010005551,0.000671527,-0.006552625,0.014543387,-0.007233305
